uid,isSelected,title
229,FALSE,Rooftop
228,TRUE,Terraces
228,FALSE,Rooftops
172,TRUE,Terraces
172,FALSE,Rooftops
173,TRUE,Terraces
173,FALSE,Rooftops
135,TRUE,Terraces
135,FALSE,Rooftops
265,TRUE,Terraces
265,FALSE,Rooftops
129,TRUE,Terraces
129,FALSE,Rooftops
201,TRUE,Terraces
201,FALSE,Rooftops
170,TRUE,Terraces
170,FALSE,Rooftops
171,TRUE,Terraces
171,FALSE,Rooftops
103,TRUE,Terrace
103,FALSE,Rooftop
148,TRUE,Terraces
148,FALSE,Rooftops
66,TRUE,Terrace
66,FALSE,Rooftop
207,TRUE,Terraces
207,FALSE,Rooftops
190,TRUE,Terraces
190,FALSE,Rooftops
139,FALSE,Terraces
139,FALSE,Rooftops
109,TRUE,Terrace
109,FALSE,Rooftop
124,TRUE,Terraces
124,FALSE,Rooftops
110,TRUE,Terrace
110,FALSE,Rooftop
130,TRUE,Terraces
130,FALSE,Rooftops
145,TRUE,Terraces
145,FALSE,Rooftops
147,TRUE,Terraces
147,FALSE,Rooftops
96,TRUE,Terraces
96,FALSE,Rooftops
137,FALSE,Terraces
137,FALSE,Rooftops
65,TRUE,Terraces
65,FALSE,Rooftops
218,FALSE,Terrace
218,FALSE,Rooftop
251,TRUE,Terraces
251,FALSE,Rooftops
131,TRUE,Terrace
131,FALSE,Rooftop
180,TRUE,Terraces
180,FALSE,Rooftops
282,TRUE,Terraces
282,FALSE,Rooftops
146,TRUE,Terraces
146,FALSE,Rooftops
269,TRUE,Terraces
269,FALSE,Rooftops
159,TRUE,Terrace
159,FALSE,Rooftop
237,TRUE,Terraces
237,FALSE,Rooftops
259,TRUE,Terraces
259,FALSE,Rooftops
206,FALSE,Terraces
206,FALSE,Rooftops
119,TRUE,Terraces
119,FALSE,Rooftops
141,TRUE,Terraces
141,FALSE,Rooftops
128,TRUE,Terraces
128,FALSE,Rooftops
127,TRUE,Terraces
127,FALSE,Rooftops
117,TRUE,Terrace
117,FALSE,Rooftop
118,TRUE,Terrace
118,FALSE,Rooftop
254,TRUE,Terraces
254,FALSE,Rooftops
115,FALSE,Terrace
115,FALSE,Rooftop
113,TRUE,Terrace
113,FALSE,Rooftop
114,TRUE,Terrace
114,FALSE,Rooftop
116,FALSE,Terrace
116,FALSE,Rooftop
283,TRUE,Terraces
283,FALSE,Rooftops
126,TRUE,Terraces
126,FALSE,Rooftops
112,TRUE,Terrace
112,FALSE,Rooftop
270,TRUE,Terraces
270,FALSE,Rooftops
125,FALSE,Terraces
125,FALSE,Rooftops
133,TRUE,Terraces
133,FALSE,Rooftops
255,TRUE,Terraces
255,FALSE,Rooftops
271,TRUE,Terraces
271,FALSE,Rooftops
276,TRUE,Terraces
276,FALSE,Rooftops
132,TRUE,Terraces
132,FALSE,Rooftops
256,TRUE,Terraces
256,FALSE,Rooftops
274,TRUE,Terraces
274,FALSE,Rooftops
136,TRUE,Terrace
136,FALSE,Rooftop
275,TRUE,Terraces
275,FALSE,Rooftops
138,FALSE,Terrace
138,FALSE,Rooftop
260,FALSE,Terraces
260,FALSE,Rooftops
273,TRUE,Terraces
273,FALSE,Rooftops
140,FALSE,Terrace
140,FALSE,Rooftop
120,TRUE,Terraces
120,FALSE,Rooftops
142,TRUE,Terraces
142,FALSE,Rooftops
144,TRUE,Terraces
144,FALSE,Rooftops
177,FALSE,Terraces
177,FALSE,Rooftops
188,TRUE,Terraces
188,FALSE,Rooftops
258,FALSE,Terraces
258,FALSE,Rooftops
187,TRUE,Terraces
187,FALSE,Rooftops
219,TRUE,Terrace
219,FALSE,Rooftop
245,TRUE,Terrace
245,FALSE,Rooftop
186,TRUE,Terrace
186,FALSE,Rooftop
232,TRUE,Terraces
232,FALSE,Rooftops
189,FALSE,Terraces
189,FALSE,Rooftops
176,TRUE,Terraces
176,FALSE,Rooftops
191,TRUE,Terraces
191,FALSE,Rooftops
102,TRUE,Terrace
102,FALSE,Rooftop
