uid,drinkPrice,drinkImage,drinkName,
192,9,d7,Bombay Sapphire,
192,8,d8,Barceló,
192,8,d9,Santa Teresa,
192,8,d10,Cacique,
192,8,d12,Johnnie Walker Red,
192,8,d13,J&B,
192,8,d14,Absolut,
192,9,d15,Nordés,
192,9,d17,Hendrick's,
225,-,d4,Caña,
225,3.5,d5,Doble,
225,9,d1,Tanqueray,
225,8,d2,Beefeater,
225,9,d3,Brugal,
225,9,d6,Seagram's,
225,9.5,d7,Bombay Sapphire,
225,9,d8,Barceló,
225,9.5,d9,Santa Teresa,
225,9,d10,Cacique,
225,8,d13,J&B,
225,9,d14,Absolut,
225,10,d22,Jack Daniel's,
225,7,d25,Larios,
225,7,d27,Dyc,
21,2.5,d4,Caña,
21,3.5,d5,Doble,
21,8,d1,Tanqueray,
21,8,d2,Beefeater,
21,8,d3,Brugal,
21,8,d6,Seagram's,
21,8,d7,Bombay Sapphire,
21,8,d8,Barceló,
21,8,d9,Santa Teresa,
21,8,d10,Cacique,
21,8,d11,Captain Morgan,
21,8,d12,Johnnie Walker Red,
21,8,d13,J&B,
21,8,d14,Absolut,
21,10,d15,Nordés,
21,10,d16,Bulldog,
21,11,d17,Hendrick's,
21,11,d18,Martin Miller's,
106,-,d4,Caña,
106,-,d5,Doble,
106,8,d1,Tanqueray,
106,8,d2,Beefeater,
106,8,d3,Brugal,
104,1.5,d4,Caña,
104,3,d5,Doble,
104,9,d1,Tanqueray,
104,9,d2,Beefeater,
104,9,d3,Brugal,
104,9,d6,Seagram's,
104,9,d7,Bombay Sapphire,
104,9,d8,Barceló,
104,9,d9,Santa Teresa,
104,9,d12,Johnnie Walker Red,
104,9,d13,J&B,
104,9,d14,Absolut,
104,12,d15,Nordés,
104,12,d17,Hendrick's,
104,12,d18,Martin Miller's,
104,12,d21,Johnnie Walker Black,
104,9,d22,Jack Daniel's,
4,6.5,dd1,Tanqueray,
4,6.5,dd2,Beefeater,
4,6.5,dd3,Brugal,
4,2.5,d4,Caña,
4,3.5,d5,Doble,
4,6.5,d8,Barceló,
4,6.5,d9,Santa Teresa,
264,-,d4,Caña,
264,-,d5,Doble,
264,7.5,d1,Tanqueray,
264,7.5,d2,Beefeater,
264,7.5,d3,Brugal,
264,7.5,d6,Seagram's,
264,7.5,d8,Barceló,
264,7.5,d10,Cacique,
264,7.5,d12,Johnnie Walker Red,
264,7.5,d13,J&B,
264,7.5,d14,Absolut,
264,12,d17,Hendrick's,
264,12,d18,Martin Miller's,
105,-,d4,Caña,
105,-,d5,Doble,
105,9,d1,Tanqueray,
105,9,d2,Beefeater,
105,9,d3,Brugal,
105,9,d6,Seagram's,
105,9,d8,Barceló,
105,9,d12,Johnnie Walker Red,
105,9,d13,J&B,
105,9,d14,Absolut,
105,11,d17,Hendrick's,
99,-,d4,Caña,
99,3,d5,Doble,
99,7,d1,Tanqueray,
99,7,d2,Beefeater,
99,7,d3,Brugal,
99,7,d6,Seagram's,
99,8,d7,Bombay Sapphire,
99,7,d8,Barceló,
99,7,d9,Santa Teresa,
99,7,d12,Johnnie Walker Red,
220,,d4,Caña,
220,,d5,Doble,
220,7,d1,Tanqueray,
220,7,d2,Beefeater,
220,7,d3,Brugal,
220,9,d7,Bombay Sapphire,
220,7,d8,Barceló,
220,7,d9,Santa Teresa,
220,7,d10,Cacique,
220,7,d13,J&B,
220,9,d15,Nordés,
220,9,d17,Hendrick's,
221,-,d4,Caña,
221,-,d5,Doble,
221,8,d1,Tanqueray,
221,8,d2,Beefeater,
221,-,d3,Brugal,
222,2.7,d4,Caña,
222,4.3,d5,Doble,
222,,d1,Tanqueray,
222,,d2,Beefeater,
222,,d3,Brugal,
222,10,d15,Nordés,
222,10,d16,Bulldog,
222,11,d17,Hendrick's,
222,1,d18,Martin Miller's,
222,10,d19,Brockman's,
222,9,d20,Havana Club 7,
263,-,d4,Caña,
263,-,d5,Doble,
263,8,d1,Tanqueray,
263,8,d2,Beefeater,
263,8,d3,Brugal,
263,8,d6,Seagram's,
263,8,d8,Barceló,
263,8,d9,Santa Teresa,
263,9,d18,Martin Miller's,
107,3,d4,Caña,
107,3.5,d5,Doble,
107,8,d1,Tanqueray,
107,8,d2,Beefeater,
107,8,d3,Brugal,
107,8,d8,Barceló,
107,8,d13,J&B,
107,8,d14,Absolut,
107,11,d15,Nordés,
223,,d4,Caña,
223,,d5,Doble,
223,8,d1,Tanqueray,
223,8,d2,Beefeater,
223,8,d3,Brugal,
224,-,d4,Caña,
224,-,d5,Doble,
224,7,d1,Tanqueray,
224,7,d2,Beefeater,
224,7,d3,Brugal,
111,7.5,dd1,Tanqueray,
111,7,dd2,Beefeater,
111,7.5,dd3,Brugal,
111,3,d4,Caña,
111,4,d5,Doble,
111,7.5,d6,Seagram's,
111,8,d7,Bombay Sapphire,
111,7.5,d8,Barceló,
111,7.5,d9,Santa Teresa,
111,7.5,d10,Cacique,
111,7.5,d12,Johnnie Walker Red,
111,7.5,d13,J&B,
111,7.5,d14,Absolut,
111,11,d15,Nordés,
111,11,d16,Bulldog,
111,11,d17,Hendrick's,
111,11,d18,Martin Miller's,
111,12,d19,Brockman's,
111,9,d20,Havana Club 7,
111,11,d21,Johnnie Walker Black,
111,100,d22,Jack Daniel's,
111,12,d23,Grey Goose,
111,12,d24,Belvedere,
111,7.5,d25,Larios,
111,7.5,d27,Dyc,
92,-,d4,Caña,
92,3.5,d5,Doble,
92,9,d1,Tanqueray,
92,9,d2,Beefeater,
92,9,d3,Brugal,
92,9,d6,Seagram's,
92,12,d7,Bombay Sapphire,
92,9,d8,Barceló,
92,9,d9,Santa Teresa,
92,9,d12,Johnnie Walker Red,
92,9,d14,Absolut,
92,12,d15,Nordés,
92,12,d17,Hendrick's,
92,12,d18,Martin Miller's,
92,12,d19,Brockman's,
92,10,d20,Havana Club 7,
92,10,d21,Johnnie Walker Black,
285,-,d4,Caña,
285,3.6,d5,Doble,
285,8,d1,Tanqueray,
285,8,d2,Beefeater,
285,8,d3,Brugal,
285,8,d6,Seagram's,
285,8,d7,Bombay Sapphire,
285,8,d8,Barceló,
285,8,d9,Santa Teresa,
285,8,d10,Cacique,
285,8,d12,Johnnie Walker Red,
285,8,d13,J&B,
285,8,d14,Absolut,
285,12,d15,Nordés,
285,12,d16,Bulldog,
285,12,d17,Hendrick's,
285,12,d18,Martin Miller's,
285,12,d19,Brockman's,
285,10,d20,Havana Club 7,
285,12,d21,Johnnie Walker Black,
285,12,d22,Jack Daniel's,
285,14,d23,Grey Goose,
285,8,d27,Dyc,
178,9,dd1,Tanqueray,
178,8,dd2,Beefeater,
178,9,dd3,Brugal,
178,2,d4,Caña,
178,3.5,d5,Doble,
178,9.5,d6,Seagram's,
178,9.5,d7,Bombay Sapphire,
178,8,d8,Barceló,
178,8,d9,Santa Teresa,
178,8,d10,Cacique,
178,8,d11,Captain Morgan,
178,8,d12,Johnnie Walker Red,
178,8,d13,J&B,
178,8,d14,Absolut,
178,11,d15,Nordés,
178,11,d16,Bulldog,
178,11,d17,Hendrick's,
178,12,d18,Martin Miller's,
178,13,d19,Brockman's,
178,10,d20,Havana Club 7,
178,11,d21,Johnnie Walker Black,
178,11,d22,Jack Daniel's,
178,13,d23,Grey Goose,
178,13,d24,Belvedere,
178,6,d25,Larios,
178,6,d26,Negrita,
178,6,d27,Dyc,
91,13,dd1,Tanqueray,
91,13,dd2,Beefeater,
91,13,dd3,Brugal,
91,-,d4,Caña,
91,-,d5,Doble,
91,13,d10,Cacique,
91,13,d11,Captain Morgan,
91,13,d12,Johnnie Walker Red,
91,13,d14,Absolut,
91,16,d17,Hendrick's,
91,18,d19,Brockman's,
91,19,d23,Grey Goose,
91,19,d24,Belvedere,
185,8,dd1,Tanqueray,
185,8,dd2,Beefeater,
185,8,dd3,Brugal,
185,-,d4,Caña,
185,3.2,d5,Doble,
185,8,d6,Seagram's,
185,8,d8,Barceló,
185,8,d9,Santa Teresa,
185,7.5,d10,Cacique,
185,8,d12,Johnnie Walker Red,
185,8,d13,J&B,
185,8,d14,Absolut,
185,7,d16,Bulldog,
134,-,d4,Caña,
134,-,d5,Doble,
134,8,d1,Tanqueray,
134,8,d2,Beefeater,
134,9,d3,Brugal,
134,8,d6,Seagram's,
134,8,d8,Barceló,
134,11,d17,Hendrick's,
82,-,d4,Caña,
82,-,d5,Doble,
82,12,d1,Tanqueray,
82,12,d2,Beefeater,
82,12,d3,Brugal,
82,15,d15,Nordés,
82,15,d17,Hendrick's,
90,-,d4,Caña,
90,9,d5,Doble,
90,14,d1,Tanqueray,
90,-,d2,Beefeater,
90,-,d3,Brugal,
90,14,d7,Bombay Sapphire,
90,14,d15,Nordés,
90,16,d17,Hendrick's,
90,14,d18,Martin Miller's,
90,14,d20,Havana Club 7,
90,14,d21,Johnnie Walker Black,
90,16,d23,Grey Goose,
90,14,d24,Belvedere,
8,10,dd1,Tanqueray,
8,-,dd2,Beefeater,
8,-,dd3,Brugal,
8,3.5,d4,Caña,
8,5,d5,Doble,
8,12,d7,Bombay Sapphire,
8,10,d8,Barceló,
8,10,d9,Santa Teresa,
8,10,d10,Cacique,
8,10,d12,Johnnie Walker Red,
8,10,d13,J&B,
8,14,d17,Hendrick's,
8,14,d18,Martin Miller's,
8,14,d22,Jack Daniel's,
89,,d4,Caña,
89,,d5,Doble,
89,12,d1,Tanqueray,
89,12,d2,Beefeater,
89,12,d3,Brugal,
89,12,d6,Seagram's,
89,12,d7,Bombay Sapphire,
89,12,d8,Barceló,
89,12,d12,Johnnie Walker Red,
89,12,d13,J&B,
89,12,d14,Absolut,
89,14,d15,Nordés,
89,14,d16,Bulldog,
89,16,d17,Hendrick's,
89,14,d18,Martin Miller's,
89,14,d19,Brockman's,
89,14,d20,Havana Club 7,
89,14,d21,Johnnie Walker Black,
89,16,d23,Grey Goose,
89,16,d24,Belvedere,
6,13.5,dd1,Tanqueray,
6,13.5,dd2,Beefeater,
6,13.5,dd3,Brugal,
6,-,d4,Caña,
6,6,d5,Doble,
6,14,d6,Seagram's,
6,14,d7,Bombay Sapphire,
6,13.5,d8,Barceló,
6,14.5,d9,Santa Teresa,
6,13.5,d10,Cacique,
6,13.5,d12,Johnnie Walker Red,
6,13.5,d13,J&B,
6,14.5,d14,Absolut,
6,15,d16,Bulldog,
6,15,d17,Hendrick's,
6,17,d19,Brockman's,
6,14,d21,Johnnie Walker Black,
6,17,d24,Belvedere,
152,-,d4,Caña,
152,-,d5,Doble,
152,9,d1,Tanqueray,
152,9,d2,Beefeater,
152,9,d3,Brugal,
152,9,d6,Seagram's,
152,9,d8,Barceló,
152,10,d15,Nordés,
93,-,d4,Caña,
93,3.25,d5,Doble,
93,8,d1,Tanqueray,
93,8,d2,Beefeater,
93,8,d3,Brugal,
93,10,d7,Bombay Sapphire,
93,8,d8,Barceló,
93,12,d15,Nordés,
93,10,d16,Bulldog,
93,10,d17,Hendrick's,
93,10,d18,Martin Miller's,
93,12,d19,Brockman's,
151,-,d4,Caña,
151,-,d5,Doble,
151,10,d1,Tanqueray,
151,10,d2,Beefeater,
151,10,d3,Brugal,
151,10,d6,Seagram's,
151,10,d8,Barceló,
151,10,d12,Johnnie Walker Red,
267,-,d4,Caña,
267,7,d5,Doble,
267,-,d1,Tanqueray,
267,-,d2,Beefeater,
267,-,d3,Brugal,
267,16,d7,Bombay Sapphire,
267,17,d8,Barceló,
267,16,d17,Hendrick's,
267,18,d23,Grey Goose,
268,4,d4,Caña,
268,5,d5,Doble,
268,12,d1,Tanqueray,
268,12,d2,Beefeater,
268,12,d3,Brugal,
268,13,d6,Seagram's,
268,13,d7,Bombay Sapphire,
268,12,d8,Barceló,
268,12,d9,Santa Teresa,
268,12,d10,Cacique,
268,12,d12,Johnnie Walker Red,
268,12,d13,J&B,
268,11,d14,Absolut,
268,15,d17,Hendrick's,
268,15,d18,Martin Miller's,
268,15,d19,Brockman's,
268,13,d20,Havana Club 7,
268,15,d21,Johnnie Walker Black,
268,14,d22,Jack Daniel's,
268,22,d23,Grey Goose,
241,4,d4,Caña,
241,5,d5,Doble,
241,11,d1,Tanqueray,
241,11,d2,Beefeater,
241,11,d3,Brugal,
241,11,d6,Seagram's,
